Name,Qentry,Lattitude,Longitude,Marker,InfoWindow,EssayTitle,EssayLink,NextTitle,OtherLink,,,,,,,,,,,,,,,,,
Chasity01,54,42.889198,-73.215617,"Bennington,VT",A monument (ancient or modern),Bennington Battle Monument,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.g5oouwngts4e,Sea Mink in the Gulf of Maine,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.bvl5cj3jthn8,,,,,,,,,,,,,,,,,
Chasity08,42,43.13741,-68.097915,"Gulf of Maine, Northeast Coast","Some place where a species used to live, nut has gone extinct due to mankind ",Sea Mink in the Gulf of Maine,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.bvl5cj3jthn8,Terroist Attacks in Mogadishu,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.hgsfvzrcm4ih,,,,,,,,,,,,,,,,,
Kyle01,84,2.0469,45.3182,"Mogadishu, Somalia",A site of a recent terroist attack (not in the united states),Terroist Attacks in Mogadishu ,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.hgsfvzrcm4ih,The Unspeakable Violence of Rwanda Genocide ,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.84d5o9hmoe96,,,,,,,,,,,,,,,,,
Hanna01,7,-1.998184,29.874034,"Rwanda, Africa",A place where a genocide took place ao you can document the causes and impacts ,The unspeakable Violence of Rwanda genocide ,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.84d5o9hmoe96,The Democratic Republic of the Congo: poor nation with vast natural resources,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.sye21cxrywaw,,,,,,,,,,,,,,,,,
Hanna02,26,-3.413301,24.319195,The democratic Republic of Congo,A destination where poverty is having a significant impact,The Democratic Republic of the Congo: poor nation with vast natural resources,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.sye21cxrywaw,The Okapi - Democratic Republic of Congo,https://docs.google.com/document/d/1y53Ux-x1oSqN2qXp2It4ND0MTqBGIyfpIwMncuA41NM/edit#bookmark=id.mkjvn85zqzw7,,,,,,,,,,,,,,,,,
Ludmila01,58,31.504627,34.464363,The okapi/ Congo Rainforrest ,A place where you can find a species that is only endemic to specific region,The Okapi - Democratic Republic of Congo ,https://docs.google.com/document/d/1y53Ux-x1oSqN2qXp2It4ND0MTqBGIyfpIwMncuA41NM/edit#bookmark=id.mkjvn85zqzw7,"Easter Island, Polynesia ",https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.icepkve5f4yq,,,,,,,,,,,,,,,,,
bee02,38,-27.112288,-109.349375,"Easter Island, Polynesia",A place where people say ancient exterrestrial life is referenced ,"Easter Island, Polynesia ",https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.icepkve5f4yq,"Perito Moreno Glacier, Argentina",https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.icepkve5f4yq,,,,,,,,,,,,,,,,,
Kayla01,10,-35.778431,-65.399486,Agrentina,A destination in one of the international students countries 2,"Perito Moreno Glacier, Argentina",https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.ropjdih7tio5,Andes Mountains,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.amv2hhw39hda,,,,,,,,,,,,,,,,,
Ludmila02,14,32.653363,70.01085,Andes Mountain Range ,"A desert , a trail, or a mountain range",Andes Mountain ,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.amv2hhw39hda,"Kallawayas healers - community, Bolivia ",https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.j86ege5mbhxs,,,,,,,,,,,,,,,,,
Ludmila03,73,15.15146,68.825389,"Kallawyas healers - community, Bolivia ",A destination where you can explore a remote cultural in Central or South America,Kallawyas healers in Bolivia ,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.j86ege5mbhxs,"Satere- mawe, Brazil",https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.9pg45yi232os,,,,,,,,,,,,,,,,,
bee06,64,-3.734636,-56.893826,"Satere-Mawe, Brazil",A destintion where you must do something out of your comfort zone,"Brazil, Satere-Mawe",https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.9pg45yi232os,Latino Hip-hop/rap,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.o9r2h8i18fyn,,,,,,,,,,,,,,,,,
Kyle08,32,8.7832,55.4915,South America,A concert or dance where the theme is completely new to you ,Latino Hip-Hop/rap,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.o9r2h8i18fyn,Costa Rica,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.jatsejbcn8ft,,,,,,,,,,,,,,,,,
Chasity02,19,10.233822,-84.807653,Costa Rica,An ecotourism destination ,Costa Rica,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.jatsejbcn8ft,Hati:A nation too familiar with natural disasters,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.mdqjukuxptno,,,,,,,,,,,,,,,,,
Hanna03,20,18.552662,-72.232965,Hati,A palce that is dangerous due to geography ,Haiti:A nation too familiar with natural disasters ,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.mdqjukuxptno,"Sea world, Florida, U.S.A",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.dqc9sdb3a65p,,,,,,,,,,,,,,,,,
bee05,56,28.411455,-81.461662,"Sea world, Florida, U.S.A ",A place where you can learn about an endangered species an explore its habits ,"LoggerHead Sea Turtle, Florida ",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.dqc9sdb3a65p,Marijuana Protest in Washington D.C,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.2jq987y7zsdv,,,,,,,,,,,,,,,,,
Kayla02,15,38.901529,-77.033127,Washington DC,A destiantion where protests are occuring ,Marijuana Protest in Washington D.C,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.2jq987y7zsdv,"Van Gogh Muscam, Amsterdam",https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.jm5lrmg492a3,,,,,,,,,,,,,,,,,
bee03,46,52.358425,4.881075,"Van Gogh Muscam, Amsterdam",Some place where remarkable art exists,"Van Gogh Muscam, Amsterdam",https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.jm5lrmg492a3,Salt Mines in Luneburg Germany,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.tl4ckpuci8sv,,,,,,,,,,,,,,,,,
Kayla05,63,50.965471,10.382514,Germany,A place where salt is (or was) special ,"Luneburg, Germany",https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.tl4ckpuci8sv,"Minsk, Belarus",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.auv0y33ql5e,,,,,,,,,,,,,,,,,
Kyle02,9,53.89732,27.56177,Belarus ,A destination in one of the international student's countries 1,"Minsk, Belarus",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.auv0y33ql5e,Mostar Bridge as a symbol of lingering divide,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.b59f2iqfener,,,,,,,,,,,,,,,,,
Hanna06,50,43.351907,17.82227,Mostar Bosnia and Herzegovina,A place where the after-effects of war are still felt ,Mostar Bridge as a symbol of lingering divide,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.b59f2iqfener,A Great Palace,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.9f9pkxdt1ka6,,,,,,,,,,,,,,,,,
Kyle03,80,43.5081,16.4402,Croatia,A place to visit ancietn ruins 1,A Great Palace,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.9f9pkxdt1ka6,Roman Tourist Attractions,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.dtiauqlotzsu,,,,,,,,,,,,,,,,,
Kyle09,37,41.9028,12.4964,"Rome, Italy",A tourist destination in a major European city,Roman Tourist Attractions ,https://docs.google.com/document/d/1Kzjsi1Y7KpPVTo6QseyFr7vJ1Oh8jRVuRwSwBgARKT8/edit#bookmark=id.dtiauqlotzsu,"Terracota Baby bottle, toy rattle, all in one in Italy",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.hl96w9yfgzdm,,,,,,,,,,,,,,,,,
Kayla06,49,42.772191,12.414922,Italy,A destination where you can detail the significance of ancient artifacts 2,"Terracota Baby bottle, toy rattle, all in one in Italy",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.hl96w9yfgzdm,"An Ancient Mining System, Rome",https://docs.google.com/document/d/1y53Ux-x1oSqN2qXp2It4ND0MTqBGIyfpIwMncuA41NM/edit#bookmark=id.eezqcb8uaeng,,,,,,,,,,,,,,,,,
Kayla07,51,41.88726,12.495515,Rome,A mining system (ancient or modern),"An Ancient Mining System, Rome",https://docs.google.com/document/d/1y53Ux-x1oSqN2qXp2It4ND0MTqBGIyfpIwMncuA41NM/edit#bookmark=id.eezqcb8uaeng,Diving in the Deep,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.w4qw3d1wo5ml,,,,,,,,,,,,,,,,,
Chasity06,78,35.85367,14.562406,"Marsaskala bay, Malta","A place where you can go deep sea fishing,diving in the deep, or sea-life watching ",Diving in the Deep,https://docs.google.com/document/d/1Y6gu-JncIk5gl88Lnldk7XeVK8cROv-c0UolafXlXYY/edit#bookmark=id.w4qw3d1wo5ml,First Computer,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.14tc523vn9sx,,,,,,,,,,,,,,,,,
Kyle04 ,79,35.862,31.1342,Greece,An  underwater destination,First Computer,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.14tc523vn9sx,"Delos Island, Greece",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.s51ng24hva6j,,,,,,,,,,,,,,,,,
bee08,82,37.348056,25.268052,"Delos-Island, Greece",An island that was once important to ancient trade,"Delos Island, Greece",https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.s51ng24hva6j,Slavery in Harem- ottoman Empire,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.l0k22j1u7alc,,,,,,,,,,,,,,,,,
Ludmila07,52,41.011717,28.983365,"Harems in topkzpi Palace, Turkey",A place where people are being exploited today,Slavery in Harem- ottoman Empire,https://docs.google.com/document/d/1wR0NjEalA8P7YvGTIdcF3QPSk_rIvLo6r2c5D2Azn0g/edit#bookmark=id.l0k22j1u7alc,Alexandria Egypt,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.8ujw9o9m9ejl,,,,,,,,,,,,,,,,,
Chasity03,24,31.208214,29.893635,Alexandria,An ancient seaport,Alexandria Egypt,https://docs.google.com/document/d/1r1A0-FzKQneRACUtSAgxkUFcRmVnEDwN9ApE4wJMRgA/edit#bookmark=id.8ujw9o9m9ejl,Great Pyramid of Giza,https://docs.google.com/document/d/1y53Ux-x1oSqN2qXp2It4ND0MTqBGIyfpIwMncuA41NM/edit#bookmark=id.2y9wwt1yuxw1,,,,,,,,,,,,,,,,,
